OrderID,Customer,Product,Category,Price,Quantity,City,OrderDate
1001,Ali,Laptop,Electronics,1200.0,1,Karachi,2026-01-01
1002,Sara,Mouse,Accessories,25.0,3,Lahore,2026-01-04
1003,Ahmed,Keyboard,Accessories,45.0,2,Karachi,2026-01-07
1004,Zainab,Monitor,Electronics,300.0,1,Islamabad,2026-01-10
1005,Bilal,Laptop,Electronics,1150.0,1,Lahore,2026-01-13
1006,Hamza,Headphones,Accessories,60.0,1,Karachi,2026-01-16
1007,Ayesha,Mouse,Accessories,25.0,5,Islamabad,2026-01-19
1008,Usman,Monitor,Electronics,320.0,1,Karachi,2026-01-22
1009,Fatima,Keyboard,Accessories,45.0,2,Lahore,2026-01-25
1010,Saad,Laptop,Electronics,1250.0,1,Karachi,2026-01-28
1011,Ali,Mouse,Accessories,,2,Karachi,2026-01-31
1012,Noor,Laptop,Electronics,1180.0,1,Islamabad,2026-02-03
1013,Hamza,Headphones,Accessories,65.0,1,Lahore,2026-02-06
1014,Sara,Monitor,Electronics,310.0,1,Karachi,2026-02-09
1015,Kashif,Keyboard,Accessories,40.0,3,Islamabad,2026-02-12
1016,Mariam,Laptop,Electronics,1220.0,1,Karachi,2026-02-15
1017,Usman,Mouse,Accessories,25.0,4,Lahore,2026-02-18
1018,,Monitor,Electronics,300.0,1,Islamabad,2026-02-21
1019,Bilal,Laptop,Electronics,1300.0,1,Karachi,2026-02-24
1020,Ayesha,Keyboard,Accessories,45.0,2,Lahore,2026-02-27
1004,Zainab,Monitor,Electronics,300.0,1,Islamabad,2026-01-10
